git	git/samples/git-diff-full.txt	diff	ultra	0	git/golden/git-diff-full.diff.ultra.e0.txt
git	git/samples/git-diff-full.txt	diff	lite	0	git/golden/git-diff-full.diff.lite.e0.txt
git	git/samples/git-diff-full.txt	diff	full	0	git/golden/git-diff-full.diff.full.e0.txt
git	git/samples/git-log-full.txt	log	ultra	0	git/golden/git-log-full.log.ultra.e0.txt
git	git/samples/git-log-full.txt	log	lite	0	git/golden/git-log-full.log.lite.e0.txt
git	git/samples/git-log-full.txt	log	full	0	git/golden/git-log-full.log.full.e0.txt
git	git/samples/git-show-full.txt	show	ultra	0	git/golden/git-show-full.show.ultra.e0.txt
git	git/samples/git-show-full.txt	show	lite	0	git/golden/git-show-full.show.lite.e0.txt
git	git/samples/git-show-full.txt	show	full	0	git/golden/git-show-full.show.full.e0.txt
git	git/samples/git-status-full.txt	status	ultra	0	git/golden/git-status-full.status.ultra.e0.txt
git	git/samples/git-status-full.txt	status	lite	0	git/golden/git-status-full.status.lite.e0.txt
git	git/samples/git-status-full.txt	status	full	0	git/golden/git-status-full.status.full.e0.txt
git	git/samples/git-status-empty.txt	status	ultra	0	git/golden/git-status-empty.status.ultra.e0.txt
git	git/samples/git-status-empty.txt	status	lite	0	git/golden/git-status-empty.status.lite.e0.txt
git	git/samples/git-status-empty.txt	status	full	0	git/golden/git-status-empty.status.full.e0.txt
docker	docker/samples/docker-ps-full.txt	ps	ultra	0	docker/golden/docker-ps-full.ps.ultra.e0.txt
docker	docker/samples/docker-ps-full.txt	ps	lite	0	docker/golden/docker-ps-full.ps.lite.e0.txt
docker	docker/samples/docker-ps-full.txt	ps	full	0	docker/golden/docker-ps-full.ps.full.e0.txt
docker	docker/samples/docker-images-full.txt	images	ultra	0	docker/golden/docker-images-full.images.ultra.e0.txt
docker	docker/samples/docker-images-full.txt	images	lite	0	docker/golden/docker-images-full.images.lite.e0.txt
docker	docker/samples/docker-images-full.txt	images	full	0	docker/golden/docker-images-full.images.full.e0.txt
docker	docker/samples/docker-logs-full.txt	logs	ultra	0	docker/golden/docker-logs-full.logs.ultra.e0.txt
docker	docker/samples/docker-logs-full.txt	logs	lite	0	docker/golden/docker-logs-full.logs.lite.e0.txt
docker	docker/samples/docker-logs-full.txt	logs	full	0	docker/golden/docker-logs-full.logs.full.e0.txt
docker	docker/samples/docker-build-full.txt	build	ultra	0	docker/golden/docker-build-full.build.ultra.e0.txt
docker	docker/samples/docker-build-full.txt	build	lite	0	docker/golden/docker-build-full.build.lite.e0.txt
docker	docker/samples/docker-build-full.txt	build	full	0	docker/golden/docker-build-full.build.full.e0.txt
docker	docker/samples/docker-pull-full.txt	pull	ultra	0	docker/golden/docker-pull-full.pull.ultra.e0.txt
docker	docker/samples/docker-pull-full.txt	pull	lite	0	docker/golden/docker-pull-full.pull.lite.e0.txt
docker	docker/samples/docker-pull-full.txt	pull	full	0	docker/golden/docker-pull-full.pull.full.e0.txt
docker	docker/samples/docker-compose-full.txt	compose	ultra	0	docker/golden/docker-compose-full.compose.ultra.e0.txt
docker	docker/samples/docker-compose-full.txt	compose	lite	0	docker/golden/docker-compose-full.compose.lite.e0.txt
docker	docker/samples/docker-compose-full.txt	compose	full	0	docker/golden/docker-compose-full.compose.full.e0.txt
ls	ls/samples/ls-output-full.txt	-la	ultra	0	ls/golden/ls-output-full.-la.ultra.e0.txt
ls	ls/samples/ls-output-full.txt	-la	lite	0	ls/golden/ls-output-full.-la.lite.e0.txt
ls	ls/samples/ls-output-full.txt	-la	full	0	ls/golden/ls-output-full.-la.full.e0.txt
tree	tree/samples/tree-output-full.txt	.	ultra	0	tree/golden/tree-output-full...ultra.e0.txt
tree	tree/samples/tree-output-full.txt	.	lite	0	tree/golden/tree-output-full...lite.e0.txt
tree	tree/samples/tree-output-full.txt	.	full	0	tree/golden/tree-output-full...full.e0.txt
tree	tree/samples/tree-error.txt	.	ultra	2	tree/golden/tree-error...ultra.e2.txt
tree	tree/samples/tree-error.txt	.	lite	2	tree/golden/tree-error...lite.e2.txt
tree	tree/samples/tree-error.txt	.	full	2	tree/golden/tree-error...full.e2.txt
grep	grep/samples/grep-output-full.txt	-r	ultra	0	grep/golden/grep-output-full.-r.ultra.e0.txt
grep	grep/samples/grep-output-full.txt	-r	lite	0	grep/golden/grep-output-full.-r.lite.e0.txt
grep	grep/samples/grep-output-full.txt	-r	full	0	grep/golden/grep-output-full.-r.full.e0.txt
grep	grep/samples/grep-empty.txt	-r	ultra	1	grep/golden/grep-empty.-r.ultra.e1.txt
grep	grep/samples/grep-empty.txt	-r	lite	1	grep/golden/grep-empty.-r.lite.e1.txt
grep	grep/samples/grep-empty.txt	-r	full	1	grep/golden/grep-empty.-r.full.e1.txt
grep	grep/samples/grep-error.txt	-r	ultra	2	grep/golden/grep-error.-r.ultra.e2.txt
grep	grep/samples/grep-error.txt	-r	lite	2	grep/golden/grep-error.-r.lite.e2.txt
grep	grep/samples/grep-error.txt	-r	full	2	grep/golden/grep-error.-r.full.e2.txt
find	find/samples/find-output-full.txt	.	ultra	0	find/golden/find-output-full...ultra.e0.txt
find	find/samples/find-output-full.txt	.	lite	0	find/golden/find-output-full...lite.e0.txt
find	find/samples/find-output-full.txt	.	full	0	find/golden/find-output-full...full.e0.txt
find	find/samples/find-empty.txt	.	ultra	0	find/golden/find-empty...ultra.e0.txt
find	find/samples/find-empty.txt	.	lite	0	find/golden/find-empty...lite.e0.txt
find	find/samples/find-empty.txt	.	full	0	find/golden/find-empty...full.e0.txt
go	gotool/samples/go-build-full.txt	build	ultra	0	gotool/golden/go-build-full.build.ultra.e0.txt
go	gotool/samples/go-build-full.txt	build	lite	0	gotool/golden/go-build-full.build.lite.e0.txt
go	gotool/samples/go-build-full.txt	build	full	0	gotool/golden/go-build-full.build.full.e0.txt
go	gotool/samples/go-test-full.txt	test	ultra	0	gotool/golden/go-test-full.test.ultra.e0.txt
go	gotool/samples/go-test-full.txt	test	lite	0	gotool/golden/go-test-full.test.lite.e0.txt
go	gotool/samples/go-test-full.txt	test	full	0	gotool/golden/go-test-full.test.full.e0.txt
go	gotool/samples/go-mod-full.txt	mod	ultra	0	gotool/golden/go-mod-full.mod.ultra.e0.txt
go	gotool/samples/go-mod-full.txt	mod	lite	0	gotool/golden/go-mod-full.mod.lite.e0.txt
go	gotool/samples/go-mod-full.txt	mod	full	0	gotool/golden/go-mod-full.mod.full.e0.txt
npm	npm/samples/npm-install-full.txt	install	ultra	0	npm/golden/npm-install-full.install.ultra.e0.txt
npm	npm/samples/npm-install-full.txt	install	lite	0	npm/golden/npm-install-full.install.lite.e0.txt
npm	npm/samples/npm-install-full.txt	install	full	0	npm/golden/npm-install-full.install.full.e0.txt
